name,brand,category,price,size,ingredients,image_url
Hydrating Cleanser,Cerave,Cleanser,11,varies,"aqua, water, glycerin, cetearyl alcohol, peg-40 stearate, stearyl alcohol, potassium phosphate, ceramide np, ceramide ap, ceramide eop, carbomer, ceteareth-20, behentrimonium methosulfate, sodium lauroyl lactylate, sodium hyaluronate, cholesterol, phenoxyethanol, disodium edta, dipotassium phosphate, tocopherol, hydroxyacetophenone, xanthan gum, cetyl alcohol, polysorbate 20, ethylhexylglycerin",https://images.openbeautyfacts.org/images/products/333/787/559/7180/front_fr.22.200.jpg
Moisturising Lotion,CeraVe,Other,11,varies,"aqua/water, glycerin, caprylic/capric triglyceride, cetearyl alcohol, cetyl alcohol, dimethicone, phenoxyethanol, polysorbate 20, ceteareth-20, behentrimonium methosulfate, polyglyceryl-3 diisostearate, sodium lauroyl lactylate, ethylhexylglycerin, potassium phosphate, disodium edta, dipotassium phosphate, ceramide np, ceramide ap, phytosphingosine, cholesterol, xanthan gum, carbomer, sodium hyaluronate, tocopherol, ceramide eop. (code f.i.l. d213778/1) a pete 7210'",https://images.openbeautyfacts.org/images/products/333/787/559/7210/front_en.11.200.jpg
Nivea Creme,Nivea,Other,23,150 ml,"aqua, paraffinum liquidum, cera microcristallina, glycerin, lanolin alcohol (eucerit), paraffin, panthenol, decyl oleate, octyldodecanol, aluminum stearates, citric acid, magnesium sulfate, magnesium stearate, parfum, limonene, geraniol, hydroxycitronellal, linalool, citronellol, benzyl benzoate, cinnamyl alcohol",https://images.openbeautyfacts.org/images/products/400/580/000/1192/front_fr.5.200.jpg
Crème pour la peau Classic,Cien,Other,16,250 ml,"aqua, isopropyl palmitate, glycerin, glycine soja oil, polyglyceryl-3 polyricinoleate, cera alba, zinc stearate, polyglyceryl-3 diisostearate, phenoxyethanol, magnesium sulfate, parfum, prunus amygdalus dulcis oil, sodium benzoate, tocopheryl acetate, potassium sorbate, benzoic acid, dehydroacetic acid, limonene, linalool, citric acid, benzyl benzoate, geraniol, citronellol",https://images.openbeautyfacts.org/images/products/000/002/005/7060/front_fr.24.200.jpg
Vaseline lip therapy,"Vaseline,Unilever",Other,21,20 g,"petrolatum, prunus, amygdalus dulcis oil (sweet almond oil), rosa damascena flower oil, aroma, linalool, ci 73360, ci 77891",https://images.openbeautyfacts.org/images/products/000/005/006/4861/front_en.14.200.jpg
La Crème des peaux extra-sèches,Mixa,Other,36,400 ml,"eau, glycérine, palmitate d'isopropyle (isopropyl palmitate), alcool cétéarylique (cetearyl alcohol), propanediol, glyceril stearate, diméthicone, esters de cétyle, huile d'amande douce (prunus amygdalus dulcis), huile de noyau d'abricot (prunus armeniaca), beurre de karité (butyrospermum parkii), allantoïne, peg-100 stearate, ammonium polyacryloyldimethyl taurate, hydroxyacetophenone, caprylyl glycol, acide citrique, gomme xanthane, parfum (fil z280662/1)",https://images.openbeautyfacts.org/images/products/360/055/102/0419/front_en.21.200.jpg
Neutrogena Lipcare Stick Norwegian Formula,Neutrogena,Other,14,1pcs,"hydrogenated polyisobutene, synthetic wax, polyisobutene, polycyceryl-3 diisostearate, cera crocristallina, caprylic/capric triglyceride, copernicia cerifera cera, disteardimonium hectorite, tocopheryl acetate, butyrospermum parkii butter, prunus amygdalus dulcis oil, persea gratissima oil, glycerin, alcohol, aqua, tocopherol, parfum",https://images.openbeautyfacts.org/images/products/357/466/008/5563/front_en.12.200.jpg
Hydrating cream-to-foam cleanser,CeraVe,Other,11,236 ml,"aqua/water, glycerin, sodium methyl cocoyl taurate, coco-betaine, sodium cocoyl isethionate, sodium chloride, pca, ppg-5-ceteth-20, peg-100 stearate, peg-150 pentaerythrityl tetrastearate, peg-6 caprylic/capric glycerides, peg-30 dipolyhydroxystearate, ci 77891/titanium dioxide, aspartic acid, ceramide np, ceramide ap, ceramide eop, sorbitan isostearate, carbomer, glycol distearate, glyceryl stearate, glyceryl oleate, glycine, trideceth-6, cetearyl alcohol, behentrimonium methosulfate, threonine, sodium hydroxide, salicylic acid, sodium pca, sodium lactate, arginine, sodium lauroyl lactylate, serine, sodium benzoate, valine, sodium hyaluronate, proline, isoleucine, cholesterol, phenoxyethanol, alanine, phenylalanine, coconut acid, coco-glucoside, chlorphenesin, disodium edta, hydroxyethyl urea, citric acid, hydroxyethyl acrylate/sodium acryloyldimethyl taurate copolymer, caprylyl glycol, phytosphingosine, xanthan gum, histidine, acrylates/c10-30 alkyl acrylate crosspolymer, polyquaternium-53, polyquaternium-39, polysorbate 60, ethylhexylglycerin, benzoic acid. (f.i.l. code d253447/1) 743563",https://images.openbeautyfacts.org/images/products/333/787/574/3563/front_fr.12.200.jpg
vaseline lip therapy aloe,"unilever, vaseline",Other,38,20g,"petrolatum, aloe barbadensis leaf extract, isopropyl myristate, parfum, benzyl alcohol, benzyl salicylate, citral, citronellol, eugenol, geraniol, limonene, linalool",https://images.openbeautyfacts.org/images/products/871/410/059/7347/front_en.11.200.jpg
Précieux Argan Eau micellaire anti-âge,"Léa Nature, So Bio Etic",Other,28,500 ml,"decyl glucoside parfum (fragrance) levulinic acid, sodium levulinate benzyl alcohol, sodium benzoate, potassium sorbate sodium hydroxide, lactic acid linalool, ni sulfaté, 2. hydratation des couches supérieures de &quot, made in france",https://images.openbeautyfacts.org/images/products/351/736/000/8685/front_en.3.200.jpg
